"","user_id","created_at","screen_name","text","source","favorite_count","retweet_count","...1","...2","...3","...4","lang","location","account_created_at","followers_count"
"123","25073877",2020-06-06 15:25:05,"realDonaldTrump","May saw the BIGGEST JOBS INCREASE EVER.
 
This jobs report serves as an emphatic reminder about the strength of @realDonaldTrump’s record.
 
He built the greatest economy once, and now he is doing it again! https://t.co/CEvQZMNhpK","Twitter for iPhone",0,11832,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"124","25073877",2020-06-06 14:36:08,"realDonaldTrump","https://t.co/FAypsSSqCs","Twitter for iPhone",132433,30345,NA,NA,NA,NA,"und","Washington, DC",2009-03-18 13:46:38,82018730
"125","25073877",2020-06-06 11:53:36,"realDonaldTrump","Riot gear or military control is not necessary because ANTIFA &amp; other Wacko groups of Anarchists aren’t present to cause trouble. Incredible people. Thank you Maine! https://t.co/KGOcoQORMg","Twitter for iPhone",120300,29592,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"126","25073877",2020-06-06 03:19:25,"realDonaldTrump","Great new book by @PastorDScott called “Nothing to Lose”. The Pastor is a winner and a great guy. Much can be learned from him. Buy the book. Make him a Big Deal Author!","Twitter for iPhone",113349,22986,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"127","25073877",2020-06-06 03:15:09,"realDonaldTrump","Pastor Darrell Scott on growing concerns for social media's role in countrywide violence

https://t.co/HdA6KlZDQA","Twitter for iPhone",0,7293,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"128","25073877",2020-06-06 03:14:30,"realDonaldTrump","Here’s my grandparents &amp; great grandparents. They are rolling in their graves at the hatred that still exists. I’m biracial &amp; I am a Christian who supports our country &amp; our President. We are all children of God. Don’t let people make you think we’ve not always been hand in hand. https://t.co/BfuZvPDXTp","Twitter for iPhone",0,17482,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"129","25073877",2020-06-06 02:57:49,"realDonaldTrump","“This is a flat out lie. They (the media) are making things up” @CharlesHurt  @IngrahamAngle The Lamestream Media is out of control. It would be impossible to fully explain how dishonest they are!","Twitter for iPhone",119014,29415,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"130","25073877",2020-06-06 02:00:45,"realDonaldTrump","Crazy! https://t.co/8uSgJ6Yyx4","Twitter for iPhone",120454,36255,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"131","25073877",2020-06-06 01:56:15,"realDonaldTrump","So great to have Michael home. Just arrived. Very exciting. Thank you to Iran. Don’t wait until after U.S. Election to make the Big deal. I’m going to win. You’ll make a better deal now! https://t.co/OGJU2VWBWq","Twitter for iPhone",0,32657,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
"132","25073877",2020-06-06 01:53:10,"realDonaldTrump","Fact:

Robert Mueller’s office deleted 19,000 text messages between Lisa Page and her lover Peter Strzok

How is that not obstruction of justice?

What were they trying to cover up?

We still don’t know.

And MSNBC just hired Lisa Page.

🤔","Twitter for iPhone",0,25509,NA,NA,NA,NA,"en","Washington, DC",2009-03-18 13:46:38,82018730
